"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"#1 PRECINCT - WEST","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",60,"LIBERTY","30051","LIBERTY","30051","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#1 PRECINCT - WEST","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",6,"LIBERTY","30051","LIBERTY","30051","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#1 PRECINCT - WEST","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",239,"LIBERTY","30051","LIBERTY","30051","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#2 PRECINCT - NORTH","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",106,"LIBERTY","30051","LIBERTY","30051","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#2 PRECINCT - NORTH","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",6,"LIBERTY","30051","LIBERTY","30051","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#2 PRECINCT - NORTH","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",134,"LIBERTY","30051","LIBERTY","30051","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#3 PRECINCT - SOUTH","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",82,"LIBERTY","30051","LIBERTY","30051","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#3 PRECINCT - SOUTH","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",5,"LIBERTY","30051","LIBERTY","30051","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#3 PRECINCT - SOUTH","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",141,"LIBERTY","30051","LIBERTY","30051","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#4 PRECINCT - JOPLIN","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",51,"LIBERTY","30051","LIBERTY","30051","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#4 PRECINCT - JOPLIN","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",7,"LIBERTY","30051","LIBERTY","30051","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"#4 PRECINCT - JOPLIN","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",139,"LIBERTY","30051","LIBERTY","30051","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"02 BAINVILLE","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",45,"ROOSEVELT","30085","ROOSEVELT","30085","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"02 BAINVILLE","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",1,"ROOSEVELT","30085","ROOSEVELT","30085","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"02 BAINVILLE","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",167,"ROOSEVELT","30085","ROOSEVELT","30085","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"1 WESTBY","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",45,"SHERIDAN","30091","SHERIDAN","30091","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"1 WESTBY","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",0,"SHERIDAN","30091","SHERIDAN","30091","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"1 WESTBY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",132,"SHERIDAN","30091","SHERIDAN","30091","GREG GIANFORTE","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"1-HERON-HD13","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",87,"SANDERS","30089","SANDERS","30089","KATHLEEN WILLIAMS","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
"1-HERON-HD13","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",16,"SANDERS","30089","SANDERS","30089","ELINOR SWANSON","000",1.0,"HOUSE",2018,"GEN","MONTANA","FALSE","FALSE","MT","30","81","64","2018-11-06","FALSE"
